,Unnamed: 0,orderid,shopid,userid,event_time
51,177,31099557240661,28091290,114498557,2019-12-27 06:45:58
52,179,31116844167376,147941492,27845592,2019-12-27 11:34:04
53,180,31112282240987,61556313,26516245,2019-12-27 10:18:03
54,183,31098520387723,61556313,74466731,2019-12-27 06:28:40
57,188,31104277133291,160305762,12791330,2019-12-27 08:04:37
58,194,31129438449839,80049863,123158564,2019-12-27 15:03:58
59,199,31103266871471,210197928,52867898,2019-12-27 07:47:47
62,210,31147471708189,64909117,87361355,2019-12-27 20:04:31
63,213,31129909907315,104590058,1849054,2019-12-27 15:11:49
64,218,31121837528377,54615708,176438036,2019-12-27 12:57:17
65,219,31111669655717,147941492,156582161,2019-12-27 10:07:50
66,222,31305960363383,147941492,144802030,2019-12-29 16:06:00
68,225,31320676969795,147941492,94263135,2019-12-29 20:11:16
70,232,31307114875629,54615708,167883945,2019-12-29 16:25:15
72,235,31290113251496,147941492,1919545,2019-12-29 11:41:54
73,236,31313686485228,61556313,94840706,2019-12-29 18:14:46
74,240,31312742940891,64909117,65599900,2019-12-29 17:59:02
77,243,31249218379072,147941492,568370,2019-12-29 00:20:18
79,250,31322781905944,171496968,4053288,2019-12-29 20:46:21
80,258,31252604997444,147941492,80783131,2019-12-29 01:16:44
81,260,31255616458299,61556313,10555,2019-12-29 02:06:56
83,262,31293534171709,147941492,113071507,2019-12-29 12:38:55
84,263,31298373094098,147941492,58430226,2019-12-29 13:59:33
85,275,31324219587589,154074176,142617381,2019-12-29 21:10:19
88,281,31319746824228,54615708,1110698,2019-12-29 19:55:47
89,282,31253137889114,188546697,31916119,2019-12-29 01:25:38
90,285,31315560356307,29979455,73479,2019-12-29 18:46:00
91,286,31332047463150,147941492,193809899,2019-12-29 23:20:47
93,289,31334228464100,64909117,30496563,2019-12-29 23:57:08
94,296,31320875658543,89768730,14819765,2019-12-29 20:14:36
96,304,31296064067672,50970067,40012551,2019-12-29 13:21:04
97,308,31295683228260,147941492,94342160,2019-12-29 13:14:44
98,310,31331220867307,43412276,98879959,2019-12-29 23:07:01
99,312,31287428239937,61556313,29795217,2019-12-29 10:57:09
100,317,31326176201781,68862371,99792869,2019-12-29 21:42:56
101,319,31250227574309,147941492,218823,2019-12-29 00:37:07
103,321,31334125320359,86285837,76371945,2019-12-29 23:55:25
104,322,31292162934406,61556313,49771883,2019-12-29 12:16:03
105,323,31300457919063,147941492,154509577,2019-12-29 14:34:17
107,331,31277166831011,147941492,111727465,2019-12-29 08:06:07
108,336,31274106803151,147941492,27578988,2019-12-29 07:15:07
109,340,31252633484060,91799978,100523698,2019-12-29 01:17:13
110,344,31248382205872,92566917,571689,2019-12-29 00:06:23
111,348,31307382195438,99833363,163258022,2019-12-29 16:29:42
112,350,31330638791261,86285837,103311798,2019-12-29 22:57:18
114,357,31261954636426,147941492,41497718,2019-12-29 03:52:34
119,375,31289943216730,147941492,852561,2019-12-29 11:39:03
120,376,31293926001034,43412276,55980416,2019-12-29 12:45:26
121,380,31251935492961,19562560,213959527,2019-12-29 01:05:35
122,383,31286774259531,27121667,7432165,2019-12-29 10:46:15
125,386,31248327576458,61556313,50063864,2019-12-29 00:05:27
127,389,31288199189211,156248768,164250588,2019-12-29 11:09:59
129,400,31266981869162,192785588,95443085,2019-12-29 05:16:22
130,401,31287364846210,61556313,163489990,2019-12-29 10:56:05
131,403,31295750816298,54615708,177365603,2019-12-29 13:15:50
132,405,31329167383158,61811194,147034440,2019-12-29 22:32:47
133,406,31252203524115,47415942,12857197,2019-12-29 01:10:03
134,407,31309306975871,43412276,122355967,2019-12-29 17:01:46
135,410,31256258176443,156498720,129930502,2019-12-29 02:17:38
136,411,31250091577652,52377417,122268643,2019-12-29 00:34:51
137,414,31333978630941,147941492,22622380,2019-12-29 23:52:59
139,418,31318074558742,131387639,130507996,2019-12-29 19:27:54
140,424,31321790341455,91799978,13697899,2019-12-29 20:29:51
141,429,31318755448097,147941492,194907100,2019-12-29 19:39:15
143,436,31300420859746,61556313,1325403,2019-12-29 14:33:41
145,440,31258104891833,96757644,16385653,2019-12-29 02:48:25
149,453,31318854182181,61556313,214977945,2019-12-29 19:40:54
150,457,31317037814866,133520367,141974809,2019-12-29 19:10:38
151,458,31284751261815,147941492,31402790,2019-12-29 10:12:32
152,461,31315034724994,147941492,3667047,2019-12-29 18:37:14
154,468,31323693117874,61556313,139590,2019-12-29 21:01:34
156,478,31314592002337,25924280,114817122,2019-12-29 18:29:52
159,487,31421922710342,105378074,75435353,2019-12-31 00:18:43
160,492,31474257594919,87621695,153838483,2019-12-31 14:50:58
161,493,31495963834270,26974701,155119124,2019-12-31 20:52:44
163,497,31428727837443,130100254,215315717,2019-12-31 02:12:08
164,498,31444678632247,9374147,159101398,2019-12-31 06:37:58
165,499,31466041057254,61556313,20778299,2019-12-31 12:34:01
166,500,31503188406976,156883302,76102350,2019-12-31 22:53:08
167,504,31479446619251,54615708,79455063,2019-12-31 16:17:26
168,505,31464264816258,50713918,101786432,2019-12-31 12:04:25
169,509,31465393403040,147906917,26147028,2019-12-31 12:23:13
170,517,31485361481456,61556313,2461168,2019-12-31 17:56:01
171,519,31498366425744,43412276,57563478,2019-12-31 21:32:46
173,522,31486231177591,169902791,20092918,2019-12-31 18:10:32
174,523,31425048460235,10159,24869430,2019-12-31 01:10:48
175,532,31477883135318,9853874,176812861,2019-12-31 15:51:23
176,535,31452337527757,42818,83699867,2019-12-31 08:45:37
177,542,31469184206800,61556313,199912166,2019-12-31 13:26:25
178,543,31494119483807,147941492,204896731,2019-12-31 20:21:59
179,547,31505092670171,19216692,209933507,2019-12-31 23:24:53
180,548,31502161101698,154074176,35495892,2019-12-31 22:36:02
181,549,31485489280976,61556313,51197737,2019-12-31 17:58:10
182,553,31482164820954,171496968,182308911,2019-12-31 17:02:45
183,554,31465989813242,161160594,155939754,2019-12-31 12:33:10
184,557,31427205355620,147941492,757001,2019-12-31 01:46:45
186,566,31426279724360,19216692,132323650,2019-12-31 01:31:20
188,574,31501539395261,161269907,138497698,2019-12-31 22:25:39
189,575,31422098888048,177841604,160331169,2019-12-31 00:21:39
190,576,31422963435530,123548863,21973229,2019-12-31 00:36:03
192,581,31480572532665,147941492,214722250,2019-12-31 16:36:12
195,595,31498203947603,150553948,33933236,2019-12-31 21:30:03
197,604,31465255887707,147941492,150479118,2019-12-31 12:20:56
198,606,31488795906532,99833363,9450355,2019-12-31 18:53:15
199,608,31426949487645,19216692,132362705,2019-12-31 01:42:30
201,610,31504324202055,147941492,215186051,2019-12-31 23:12:04
202,615,31422983315862,147941492,200317041,2019-12-31 00:36:23
203,621,31494160492613,171496968,103345773,2019-12-31 20:22:40
204,626,31490910127944,156883302,80022509,2019-12-31 19:28:31
205,627,31477129377048,147941492,8913608,2019-12-31 15:38:49
207,634,31470774054777,54615708,3862671,2019-12-31 13:52:54
208,636,31503157323727,156498720,191766126,2019-12-31 22:52:37
209,637,31468859342821,66337054,158013228,2019-12-31 13:20:59
211,649,31461778624729,147941492,50956075,2019-12-31 11:22:58
213,656,31463564199415,22800308,160065253,2019-12-31 11:52:45
214,660,31487763213391,11896733,199074666,2019-12-31 18:36:03
215,664,31478511921003,9374147,8469551,2019-12-31 16:01:51
216,666,31467736431015,147941492,164098479,2019-12-31 13:02:17
217,669,31478821218134,147941492,208726963,2019-12-31 16:07:02
218,673,31466544673763,126639670,177390452,2019-12-31 12:42:24
219,674,31422556269347,147941492,162362287,2019-12-31 00:29:17
220,677,31499186387461,24013303,100623191,2019-12-31 21:46:26
221,681,31496264329965,134288755,214356516,2019-12-31 20:57:44
222,687,31178341210363,54615708,109981580,2019-12-28 04:39:02
223,688,31188229570449,61556313,136715013,2019-12-28 07:23:49
224,691,31240575699023,104590058,110776837,2019-12-28 21:56:15
225,693,31234264063987,54615708,80533195,2019-12-28 20:11:04
226,695,31214181336498,147941492,194694365,2019-12-28 14:36:21
227,701,31245821216221,13026492,108118585,2019-12-28 23:23:41
229,706,31161716969725,147941492,68787435,2019-12-28 00:01:56
232,715,31186703141628,25924280,158087689,2019-12-28 06:58:23
233,717,31239401081201,147941492,167715428,2019-12-28 21:36:41
234,726,31211326022107,61556313,45675833,2019-12-28 13:48:46
236,735,31209116395062,54615708,109918770,2019-12-28 13:11:56
237,739,31200000396853,104590058,93107048,2019-12-28 10:40:00
238,742,31244835225400,54615708,160579504,2019-12-28 23:07:16
239,744,31239013198257,28091290,31890103,2019-12-28 21:30:13
240,747,31162510043474,86368642,144612139,2019-12-28 00:15:10
241,748,31207608004038,91799978,832094,2019-12-28 12:46:48
242,751,31183646782251,147941492,138047932,2019-12-28 06:07:26
244,761,31165185038487,147941492,50298944,2019-12-28 00:59:45
245,762,31212043145741,45348627,35619220,2019-12-28 14:00:43
247,770,31227698875251,9641401,3895646,2019-12-28 18:21:39
248,773,31220308310824,161269907,9901005,2019-12-28 16:18:29
249,776,31166865695406,147941492,12374713,2019-12-28 01:27:45
251,781,31230326851542,61556313,113071507,2019-12-28 19:05:26
252,784,31204629683577,84301799,121665908,2019-12-28 11:57:09
253,785,31161836919722,147941492,19611987,2019-12-28 00:03:56
254,786,31212132139975,54615708,60248422,2019-12-28 14:02:12
255,789,31212633564227,27015534,38494690,2019-12-28 14:10:33
257,794,31219427310904,145777302,14448203,2019-12-28 16:03:47
258,805,31240594239883,112904482,105265567,2019-12-28 21:56:35
260,811,31210046509575,147941492,15433053,2019-12-28 13:27:26
263,821,31162142019206,147941492,9857147,2019-12-28 00:09:02
264,824,31207489156338,168046193,25022471,2019-12-28 12:44:49
265,825,31184857204715,92566917,120554290,2019-12-28 06:27:38
266,829,31220846979963,61556313,151868174,2019-12-28 16:27:26
267,831,31211313076708,147941492,34502302,2019-12-28 13:48:33
270,849,31204958835904,147941492,12100572,2019-12-28 12:02:39
271,850,31206451001125,120358496,87693922,2019-12-28 12:27:31
272,853,31218060394079,96757644,167235208,2019-12-28 15:41:00
273,858,31213885797041,61556313,54818818,2019-12-28 14:31:25
274,859,31168990109927,61758240,214525342,2019-12-28 02:03:10
277,866,31236491750129,91799978,99525663,2019-12-28 20:48:11
278,867,31206642686386,156498720,214609516,2019-12-28 12:30:43
280,873,31247610299170,147941492,48589659,2019-12-28 23:53:31
282,879,31226671642895,54615708,100671250,2019-12-28 18:04:32
283,883,31192480545878,61556313,2636864,2019-12-28 08:34:40
284,887,31170501614473,14646941,131703840,2019-12-28 02:28:21
285,889,31404793348382,87828817,155119124,2019-12-30 19:33:13
287,893,31342159517584,112547365,195303436,2019-12-30 02:09:19
288,897,31336596929302,147941492,193268104,2019-12-30 00:36:36
289,898,31390146910860,189308408,42364980,2019-12-30 15:29:06
290,901,31383057888297,147941492,21224323,2019-12-30 13:30:58
291,908,31405546890998,54615708,197631132,2019-12-30 19:45:47
293,910,31359389837453,19216692,161336561,2019-12-30 06:56:29
294,911,31334529240236,192785588,202043101,2019-12-30 00:02:09
296,914,31402292214770,50713918,43909293,2019-12-30 18:51:33
297,916,31376575555439,93358941,79419297,2019-12-30 11:42:55
299,925,31381608657946,147941492,173380795,2019-12-30 13:06:49
300,928,31408119956860,147941492,23961096,2019-12-30 20:28:39
301,932,31337653167681,51831798,184696491,2019-12-30 00:54:14
304,939,31340834641804,48834674,141232942,2019-12-30 01:47:14
305,945,31419242792474,54615708,121097977,2019-12-30 23:34:02
306,947,31338410789717,39554718,202833372,2019-12-30 01:06:50
307,949,31360729165237,19216692,16745261,2019-12-30 07:18:50
308,950,31414510595166,92566917,155834853,2019-12-30 22:15:11
309,952,31411707323273,61556313,88558277,2019-12-30 21:28:27
310,957,31336843198565,147941492,3293155,2019-12-30 00:40:44
312,963,31395109728645,54615708,163200427,2019-12-30 16:51:49
314,969,31373216318646,147941492,145622447,2019-12-30 10:46:57
316,976,31367451673815,89126206,3295689,2019-12-30 09:10:51
317,978,31364221955994,147941492,100526191,2019-12-30 08:17:01
318,981,31410343831155,32504026,151292695,2019-12-30 21:05:44
319,985,31334518763834,147941492,99038036,2019-12-30 00:01:58
322,996,31411944607459,147941492,48207159,2019-12-30 21:32:25
323,999,31336295505475,208265257,122462164,2019-12-30 00:31:35
324,1001,31409871346158,54615708,131943787,2019-12-30 20:57:51
325,1005,31384995570513,9641401,82622106,2019-12-30 14:03:15
326,1006,31383323742219,32504026,41475334,2019-12-30 13:35:24
328,1010,31386995328192,156498720,202460897,2019-12-30 14:36:35
329,1012,31373863510791,36453588,46678936,2019-12-30 10:57:43
330,1013,31411926834689,61556313,187635846,2019-12-30 21:32:07
331,1016,31370979258280,118949192,211604080,2019-12-30 10:09:40
333,1021,31371226097802,147941492,93870589,2019-12-30 10:13:46
336,1028,31394223513914,14184981,161638061,2019-12-30 16:37:03
337,1029,31365434119626,64394533,210568194,2019-12-30 08:37:14
338,1032,31380122417634,43412276,160834026,2019-12-30 12:42:02
339,1034,31401947680596,61556313,61082928,2019-12-30 18:45:47
340,1038,31371740364697,180676972,64551654,2019-12-30 10:22:21
341,1043,31415588522027,54615708,208403878,2019-12-30 22:33:09
342,1047,31337810814585,147941492,169801117,2019-12-30 00:56:51
343,1051,31393934869805,112904482,177746743,2019-12-30 16:32:14
344,1059,31378613346374,54615708,85650202,2019-12-30 12:16:53
345,1060,31380288188661,91487219,5447051,2019-12-30 12:44:48
346,1064,31369544095928,116525677,101966164,2019-12-30 09:45:44
347,1068,31373551097975,134968430,59725263,2019-12-30 10:52:32
348,1074,31409465305119,102111330,66856630,2019-12-30 20:51:05
350,1079,31416768567366,171407673,179104225,2019-12-30 22:52:49
352,1083,31342506321741,147941492,18952700,2019-12-30 02:15:06
353,1090,31416982960607,97084589,198762854,2019-12-30 22:56:23
354,1091,31335658009474,208624214,206878122,2019-12-30 00:20:58
355,1096,31363745852769,147941492,113071507,2019-12-30 08:09:06
356,1099,31341378418780,54615708,1028273,2019-12-30 01:56:18
357,1100,31366226072252,147941492,137510775,2019-12-30 08:50:26
359,1105,31503080698351,89768730,88890536,2019-12-31 22:51:20
360,1106,31450309004993,84599953,211745844,2019-12-31 08:11:49
361,1107,31470757627622,54615708,215350223,2019-12-31 13:52:37
362,1109,31472278961759,950097,165315057,2019-12-31 14:17:58
363,1110,31489528534853,48834674,30800106,2019-12-31 19:05:28
364,1111,31475657003069,16001939,205729485,2019-12-31 15:14:17
365,1116,31464235556018,147941492,39188885,2019-12-31 12:03:55
366,1117,31498581465164,61556313,129075921,2019-12-31 21:36:21
367,1118,31482327434781,63001696,28857734,2019-12-31 17:05:28
369,1127,31492195210012,147941492,26792543,2019-12-31 19:49:56
370,1129,31471614723490,178273138,191946579,2019-12-31 14:06:54
371,1131,31461540149839,156498720,195324166,2019-12-31 11:19:00
372,1135,31455783482229,121725825,9451385,2019-12-31 09:43:03
375,1143,31474509852003,147941492,43149820,2019-12-31 14:55:10
379,1151,31503895339848,147941492,113859893,2019-12-31 23:04:55
381,1155,31424908455286,105084800,5990054,2019-12-31 01:08:29
383,1161,31441441674330,42818,83743634,2019-12-31 05:44:02
384,1166,31422927700822,50970067,41901907,2019-12-31 00:35:27
386,1169,31497757126829,51134277,40682245,2019-12-31 21:22:38
387,1171,31427781120249,147941492,30880474,2019-12-31 01:56:22
388,1173,31469757678385,147941492,117110150,2019-12-31 13:35:58
389,1176,31464824481945,147941492,54105629,2019-12-31 12:13:44
391,1181,31467887960002,147941492,116612955,2019-12-31 13:04:47
392,1190,31465185106958,147941492,107871590,2019-12-31 12:19:46
393,1192,31480012379664,86285837,97168420,2019-12-31 16:26:52
395,1199,31494631546707,150526730,108214177,2019-12-31 20:30:31
396,1202,31469337447769,61556313,208922941,2019-12-31 13:28:57
397,1203,31465511359208,147941492,52097335,2019-12-31 12:25:11
398,1205,31446619074203,61556313,167061266,2019-12-31 07:10:19
399,1212,31496535137332,61556313,100713980,2019-12-31 21:02:16
400,1213,31440397208412,147941492,569548,2019-12-31 05:26:37
401,1214,31423669285981,76668593,203270911,2019-12-31 00:47:49
402,1215,31443535632399,147941492,137593433,2019-12-31 06:18:56
404,1220,31500713893442,51831798,61235299,2019-12-31 22:11:54
405,1221,31489961194556,147941492,67136227,2019-12-31 19:12:41
406,1228,31492084785264,55942169,2559902,2019-12-31 19:48:04
407,1235,31474598174450,147941492,31340618,2019-12-31 14:56:38
408,1237,31504192066196,4888564,28997533,2019-12-31 23:09:52
413,1260,31456602797310,36453588,190393295,2019-12-31 09:56:42
414,1266,31476717458328,19562560,215431254,2019-12-31 15:31:57
416,1270,31458222610335,61556313,11223540,2019-12-31 10:23:42
418,1278,31429152084032,110641390,131909621,2019-12-31 02:19:12
419,1280,31486287009595,118548742,543036,2019-12-31 18:11:27
420,1287,31484852530743,151556698,130377259,2019-12-31 17:47:32
421,1289,31429732655295,61556313,177252834,2019-12-31 02:28:52
422,1293,31433400657268,147941492,64860271,2019-12-31 03:30:00
423,1294,31502350014903,61556313,7143897,2019-12-31 22:39:10
424,1303,31490627291934,189308408,171371785,2019-12-31 19:23:47
425,1305,31503304341656,64112798,191554797,2019-12-31 22:55:04
426,1309,31193331382777,147941492,9285682,2019-12-28 08:48:51
427,1313,31222725148725,167068287,53388388,2019-12-28 16:58:46
428,1320,31220612986292,18254273,131651491,2019-12-28 16:23:32
429,1322,31243817806326,147941492,21561062,2019-12-28 22:50:18
430,1324,31197156162517,147941492,209434619,2019-12-28 09:52:36
431,1330,31240368853608,84599953,214559513,2019-12-28 21:52:49
432,1331,31221936981444,147941492,15188852,2019-12-28 16:45:36
433,1332,31166557266021,147941492,84922056,2019-12-28 01:22:38
434,1338,31242564523108,129460270,1330746,2019-12-28 22:29:25
435,1340,31224960087940,147941492,39620305,2019-12-28 17:36:00
436,1342,31222395889741,61556313,210174686,2019-12-28 16:53:16
437,1352,31234730730950,61556313,130127594,2019-12-28 20:18:50
438,1357,31227293371719,49674796,161511958,2019-12-28 18:14:53
439,1358,31232653235879,28091290,108320118,2019-12-28 19:44:13
441,1362,31166388638282,179920846,562339,2019-12-28 01:19:48
445,1375,31168548893851,66337054,140289042,2019-12-28 01:55:49
448,1387,31206556288336,10206302,8896534,2019-12-28 12:29:16
449,1389,31221505698392,36453588,73122212,2019-12-28 16:38:26
450,1390,31165063978626,147941492,5018450,2019-12-28 00:57:43
451,1394,31175570143929,61556313,103193459,2019-12-28 03:52:51
452,1398,31214643549245,47415942,137196353,2019-12-28 14:44:04
453,1399,31207987142822,147941492,40080,2019-12-28 12:53:07
455,1407,31164509794570,80102990,66455496,2019-12-28 00:48:29
456,1408,31216730565784,108157503,119118569,2019-12-28 15:18:50
457,1410,31235039842739,61556313,823354,2019-12-28 20:24:00
458,1419,31211669813946,110891405,116665740,2019-12-28 13:54:30
460,1425,31163592990339,147941492,198541140,2019-12-28 00:33:12
461,1426,31229092817606,61556313,101159439,2019-12-28 18:44:52
462,1431,31215743217191,110871170,213772858,2019-12-28 15:02:24
463,1433,31199484177476,147941492,110106098,2019-12-28 10:31:24
464,1436,31221433435774,8996761,162508227,2019-12-28 16:37:13
465,1437,31200269997327,147941492,129298795,2019-12-28 10:44:29
466,1438,31200638755778,61556313,120912471,2019-12-28 10:50:38
467,1439,31217672638819,105084800,9855969,2019-12-28 15:34:33
468,1447,31201816423741,12078788,214588488,2019-12-28 11:10:16
469,1449,31204343826068,78509316,944731,2019-12-28 11:52:24
470,1450,31213722742071,32504026,75879872,2019-12-28 14:28:42
471,1451,31211947581651,156498720,202643189,2019-12-28 13:59:07
472,1454,31223575662668,76668593,95895473,2019-12-28 17:12:55
473,1455,31218773370198,156498720,195225287,2019-12-28 15:52:53
474,1456,31162249565114,147941492,127561102,2019-12-28 00:10:49
475,1457,31241484793033,61556313,195405075,2019-12-28 22:11:24
478,1466,31207567860611,32504026,192870322,2019-12-28 12:46:08
479,1471,31246784848036,9372692,78802125,2019-12-28 23:39:45
480,1472,31186168368019,147941492,52097335,2019-12-28 06:49:28
481,1473,31210254199382,43412276,59073648,2019-12-28 13:30:54
482,1474,31215110587448,156498720,197877294,2019-12-28 14:51:50
483,1475,31244167995388,19216692,203485005,2019-12-28 22:56:07
485,1483,31213253171396,147941492,210071641,2019-12-28 14:20:53
486,1484,31162291553859,156246169,178968782,2019-12-28 00:11:31
487,1491,31227263915661,147941492,205583383,2019-12-28 18:14:23
488,1493,31220170334632,126639670,239686,2019-12-28 16:16:10
489,1495,31239278798216,126639670,177992515,2019-12-28 21:34:38
491,1498,31224296189745,104590058,116313647,2019-12-28 17:24:56
493,1507,31202274897505,147941492,176284331,2019-12-28 11:17:55
494,1508,31197124198470,61556313,173592110,2019-12-28 09:52:05
495,1511,31213133974640,112442101,208113570,2019-12-28 14:18:53
496,1512,31232057234143,75622223,107001115,2019-12-28 19:34:18
497,1515,31233034736704,39554718,8906212,2019-12-28 19:50:34
499,1518,31202185465555,61556313,150597137,2019-12-28 11:16:25
500,1519,31193800744134,171496968,37232836,2019-12-28 08:56:40
501,1521,31198390885482,108157503,29381126,2019-12-28 10:13:11
502,1523,31212044420346,147941492,64585190,2019-12-28 14:00:44
503,1524,31207982936230,61556313,57699697,2019-12-28 12:53:02
504,1527,31194855056306,61556313,17028606,2019-12-28 09:14:15
506,1533,31199080184075,10287,495270,2019-12-28 10:24:41
507,1541,31227389732588,43412276,29303427,2019-12-28 18:16:29
508,1543,31336713175165,25924280,95629740,2019-12-30 00:38:34
509,1544,31400288278146,187570150,191118602,2019-12-30 18:18:09
511,1556,31371180256630,180676972,121537666,2019-12-30 10:13:01
512,1560,31375809709553,162043213,15425170,2019-12-30 11:30:10
513,1561,31367905057276,89768730,117154431,2019-12-30 09:18:26
516,1567,31357569611540,20522747,215078963,2019-12-30 06:26:09
517,1568,31409192557040,13436301,140918252,2019-12-30 20:46:32
519,1576,31386544710131,89768730,170082671,2019-12-30 14:29:04
520,1577,31418486519319,61556313,15995678,2019-12-30 23:21:26
521,1578,31386432704499,154074176,164163077,2019-12-30 14:27:12
522,1584,31366234614911,147941492,89984455,2019-12-30 08:50:35
524,1586,31382745552770,45348627,163922234,2019-12-30 13:25:45
526,1593,31395241937981,147941492,156921720,2019-12-30 16:54:01
527,1605,31398572784630,48834674,161016067,2019-12-30 17:49:33
528,1609,31375862572634,9374147,1368733,2019-12-30 11:31:02
529,1614,31399363766936,108170744,193341349,2019-12-30 18:02:44
530,1615,31383606550732,47415942,1319026,2019-12-30 13:40:06
532,1618,31366728313164,61556313,117742409,2019-12-30 08:58:48
533,1619,31408055327592,29975426,26000970,2019-12-30 20:27:35
534,1621,31411017233263,145777302,27367309,2019-12-30 21:16:58
535,1626,31416472478876,147941492,53675367,2019-12-30 22:47:52
536,1627,31420050386147,54615708,45639899,2019-12-30 23:47:30
538,1629,31375520288569,47415942,9777492,2019-12-30 11:25:21
539,1634,31338206787625,147941492,200498286,2019-12-30 01:03:27
540,1635,31362370662777,147941492,7575436,2019-12-30 07:46:10
541,1636,31338873647557,54615708,27693642,2019-12-30 01:14:33
542,1639,31338774781060,36641013,116039369,2019-12-30 01:12:54
544,1646,31418662485813,36641013,193885988,2019-12-30 23:24:22
545,1650,31393239687746,51134277,3900183,2019-12-30 16:20:39
546,1652,31342533256546,91487219,215004310,2019-12-30 02:15:34
547,1653,31390154981007,147941492,48460996,2019-12-30 15:29:14
549,1659,31405967017150,147941492,3462408,2019-12-30 19:52:48
550,1662,31393205624803,61556313,5480328,2019-12-30 16:20:06
551,1664,31392395008336,52377417,202707743,2019-12-30 16:06:35
552,1665,31372806572370,147941492,212911650,2019-12-30 10:40:07
553,1667,31334529804665,181050132,187584534,2019-12-30 00:02:10
554,1670,31408118171108,8715449,165174867,2019-12-30 20:28:38
555,1672,31412249623146,25924280,80682958,2019-12-30 21:37:29
556,1676,31385896655078,147941492,197295046,2019-12-30 14:18:17
557,1681,31335815672337,193424291,62201057,2019-12-30 00:23:36
558,1685,31409022351020,161269907,114663799,2019-12-30 20:43:43
561,1692,31372940610439,19216692,116678781,2019-12-30 10:42:21
562,1695,31360821879397,147941492,87570075,2019-12-30 07:20:22
564,1702,31382994342065,51960315,432459,2019-12-30 13:29:54
566,1715,31416516909284,9641401,30646288,2019-12-30 22:48:36
567,1717,31349982811466,147941492,112603720,2019-12-30 04:19:42
568,1718,31418192481930,108157503,86235171,2019-12-30 23:16:32
569,1720,31373722076312,16001939,15228034,2019-12-30 10:55:22
571,1732,31336770612419,92566917,118211027,2019-12-30 00:39:31
572,1733,31387886060659,161277691,19907385,2019-12-30 14:51:26
573,1735,31416914674304,54615708,28618185,2019-12-30 22:55:14
574,1736,31402554130523,950097,130911634,2019-12-30 18:55:55
575,1739,31376002389902,85648725,186634585,2019-12-30 11:33:22
576,1741,31407280016152,54615708,70214776,2019-12-30 20:14:40
577,1743,31416754277157,68862371,202995226,2019-12-30 22:52:35
578,1746,31363255019325,39938958,615049,2019-12-30 08:00:55
579,1753,31294477963968,91799978,103944343,2019-12-29 12:54:37
580,1755,31248871591393,70524978,71628406,2019-12-29 00:14:31
581,1756,31250256435884,61556313,114743298,2019-12-29 00:37:36
584,1770,31322074283113,61556313,39657599,2019-12-29 20:34:35
585,1776,31291895135230,61556313,7786871,2019-12-29 12:11:36
589,1798,31327366546942,181744029,164840026,2019-12-29 22:02:46
590,1800,31290689386892,147941492,96296663,2019-12-29 11:51:29
593,1804,31318793827428,87621695,22139178,2019-12-29 19:39:54
594,1805,31325975969671,61556313,7935333,2019-12-29 21:39:35
595,1806,31329432111711,147941492,7785022,2019-12-29 22:37:12
598,1815,31291977780870,32504026,3072437,2019-12-29 12:12:57
